J0302-22,1982R,0.017957
J0232-39,2012hc,0.004567
J0246-30,1999eu,0.044310
J0205-55a:S1,2004ew,0.003453
J0205-55a:S2,2004ew,0.114343
J0507-37,1993af,0.065282
J0205-55a:S5,2004ew,0.043077
J0205-55a:S6,2004ew,0.119343
J0205-55a:S7,2012U,0.106064
J1352-01,2003gm,0.011245
J1513-20:S1,2002ds,0.018855
J1254-10b,2012au,0.001143
J1513-20:S2,2002ds,0.081418
J0234-10:S2,2008J,0.075469
J0234-10:S1,2008J,0.001412
J1408-21:S3,2007cc,0.031483
J1408-21:S2,2007cc,0.079564
J0419-54,2010el,0.007817
J1408-21:S6,2007cc,0.113317
J1408-21:S5,2007cc,0.041382
J1340-31,1986F,0.109574
J1339-31:S1,1986F,0.129921
J2347-30,2004cx,0.005810
J0221-05:S2,2003id,0.039128
J0221-05:S1,2003id,0.010092
J2000-55,1991ag,0.005929
J0351-38,2008jb,0.011475
J0403-43:S1,2010iv,0.078857
J1403-06:S4,2009mz,0.085144
J1403-06:S3,2009mz,0.066661
J1403-06:S2,2009mz,0.028444
J1403-06:S1,2009mz,0.010559
J0230-02:S1,2005A,0.001930
J2323-29,2010kx,0.003287
J0230-02:S2,2005A,0.071057
J0205-55a:S3,2004ew,0.075226
J1429-00,2002ao,0.005823
J1231-08,2009N,0.021128
J1406-05,2005P,0.009213
J0039-14b,2005ct,0.001211
J2000-47,2008da,0.002850
J0223-21,1994ai,0.006296
J0205-55a:S9,2012U,0.108315
J0059-07,2011dq,0.010951
J2044-68,2005av,0.008122
J2314-43,2012dj,0.006441
J0942+00,2010fz,0.007786
J1304-10:S2,2014B,0.100721
J2149-60:S1,2012du,0.102983
J0333-36,2012fr,0.013323
J1208-09,2002E,0.001709
J1250-10,2008aq,0.014445
J2038-52,2006ms,0.069208
J1250-14,2008io,0.019651
J2034-31,2011ei,0.010969
J2149-60:S2,2012du,0.001544
J0344-44,2001el,0.006187
J2135-63,2009hm,0.003868
J1307-28,2000P,0.007937
J0209-10:S2,2005H,0.000629
J0209-10:S1,2005H,0.041941
J2202-20:S1,1984N,0.024862
J0209-10:S4,2005H,0.074209
J1500+01,2012P,0.005696
J0338-26,1996N,0.011426
J2257-41,2001ig,0.048933
J0342-47,1985P,0.017560
J1201-18,2013dk,0.005007
J1621-02,2004dk,0.012371
J1234+02B,2004gn,0.033064
J2247-64,2011cb,0.003933
J1337-29,1968L,0.000752
J1408-21:S1,2007cc,0.000459
J2357-32,2008bk,0.035074
J0224-24:S1,2002gw,0.006845
J2025-24,2008fq,0.001909
J0209-10:S3,2005H,0.058503
J0122+00,2006om,0.075252
J1249-08,1983K,0.055079
J0034-08,2009em,0.009635
J0335-24,2005ke,0.015452
J1408-21:S4,2007cc,0.034103
J1250-14:S2,2008io,0.025612
J1339-31:S3,1986F,0.097970
J1339-31:S2,1986F,0.080634
J1001-06,2000R,0.065881
J2202-20:S2,1984N,0.100255
J2319-08,1987N,0.010158
J0441-02,1999em,0.006624
J0101-07,1998dn,0.035836
J1503-03,2004bw,0.091317
J0443-05:S5,1999et,0.010071
J0443-05:S1,1999et,0.000477
J1109-23,1998A,0.011957
J0056-09,1999ge,0.004900
J1131-02:S1,2006V,0.014788
J1131-02:S3,2006V,0.055449
J1131-02:S2,2006V,0.065717
J1304-10,2014B,0.015224
J0112+00,2013ct,0.003953
J1954-58,2011gv,0.005208
J0953+01,1983E,0.010763
J1424-03,2013aq,0.003641
J0030-33,2009gj,0.038064
J0246-07,2012ec,0.004477
J2149-60:S3,2012du,0.066796
J0225-25,2014cp,0.014028
J0317-66,1978K,0.084287
J1243-00,1999gk,0.014567
J2256-36a,2007oc,0.001686
J1247-03,1997X,0.001592
J1339-31A,1986F,0.000460
J0125-18,2008gg,0.009892
J1200-01,2007aa,0.025366
J1305-07,1994U,0.000671
J0230-02:S3,2005A,0.035487
J2115-47,2010dx,0.011610
J0403-43:S2,2010iv,0.065449
