# Host       SN      Type      RA(host)   Dec(host)   a/b      PA    R_e(R) R_e(Ha)    R_max
J0209-10:S1  2005H   II        32.427940  -10.183711  2.316   84.03   11.93    3.88    93.71
J0209-10:S2  2005H   II        32.410339  -10.146053  1.325   78.33    7.97    4.21    75.85
J0209-10:S3  2005H   II        32.351803  -10.136276  2.245  100.04   16.04    9.57   139.99
J0209-10:S4  2005H   II        32.336193  -10.132932  1.734   77.98    8.87    4.33    45.06
J0224-24:S1  2002gw  II        36.266903  -24.791916  1.538   33.36   28.43   32.48   111.53
J0234-10:S1  2008J   IIn?      38.602211  -10.843625  2.515   70.04   19.26   19.83   120.00
J0234-10:S2  2008J   IIn?      38.525463  -10.858732  2.108   52.44    6.30    6.56    26.50
J0246-30     1999eu  IIpec     41.579025  -30.274540  1.154  138.76   79.23   38.67   353.26
J0351-38     2008jb  II        57.921661  -38.452053  1.199  123.28   31.35   38.72    80.88
J0441-02     1999em  II        70.367432   -2.857949  1.377   38.16   57.93   67.33   245.32
J0443-05:S1  1999et  II        70.932930   -5.319425  1.194    9.16   10.71    8.98    90.81
J1001-06     2000R   IIL      150.391327   -6.525962  1.132  176.05   17.83    4.28    53.50
J1109-23     1998A   II       167.472488  -23.726179  1.101   73.42   30.93   27.59   129.04
J1131-02:S1  2006V   II       172.884171   -2.309473  1.107   18.24   24.98   34.56   107.03
J1131-02:S2  2006V   II       172.924881   -2.340716  2.993   52.33    7.92    6.67    38.77
J1131-02:S3  2006V   II       172.908005   -2.342444  2.189  113.75    1.62    2.02     5.03
J1200-01     2007aa  II       180.097794   -1.099285  1.389   24.12   37.25   42.24   278.31
J1231-08     2009N   IIP      187.768768   -8.054149  1.603   73.75   56.02   55.58   184.99
J1304-10     2014B   IIP      196.059525  -10.339650  1.772    5.61   54.58   67.45   266.38
J1429-00     2002ao  IIb?     217.394226   -0.018956  1.330   84.68   20.82   21.76   104.35
J1513-20:S1  2002ds  II       228.378830  -20.675413  4.346   57.69   42.98   47.05   200.14
J1513-20:S2  2002ds  II       228.408813  -20.758247  1.699  105.50    7.41    6.40    33.60
J1954-58     2011gv  IIP      298.597809  -58.713547  1.422  140.24   38.96   58.45   230.57
J2025-24     2008fq  II       306.277252  -24.809042  1.387   82.90   40.74   40.06   239.00
J2034-31     2011ei  IIb      308.585449  -31.981260  3.390    8.15   42.78   59.44   228.90
J2044-68     2005av  IIn      311.140167  -68.747414  2.030  121.54   45.58   62.08   201.08
J2149-60:S1  2012du  IIp      327.328766  -60.608986  1.976   74.04   21.65   20.39   174.48
J2149-60:S2  2012du  IIp      327.316376  -60.713158  1.599  111.08   49.77   61.80   159.51
J2149-60:S3  2012du  IIp      327.409546  -60.662308  1.105  115.62    5.32    2.25    14.43
J2357-32     2008bk  II       359.456909  -32.590912  1.549  102.54  123.72  120.21   441.28
